"";"uf";"codUf";"codIbge";"nomeMun"
"169";"AM";"13";"1302504";"MANACAPURU"
"170";"AM";"13";"1302553";"MANAQUIRI"
"171";"AM";"13";"1302603";"MANAUS"
"172";"AM";"13";"1302702";"MANICORE"
"173";"AM";"13";"1302801";"MARAA"
"174";"AM";"13";"1302900";"MAUES"
"175";"AM";"13";"1303007";"NHAMUNDA"
"176";"AM";"13";"1303106";"NOVA OLINDA DO NORTE"
"177";"AM";"13";"1303205";"NOVO AIRAO"
"178";"AM";"13";"1303304";"NOVO ARIPUANA"
"179";"AM";"13";"1303403";"PARINTINS"
"180";"AM";"13";"1303502";"PAUINI"
"181";"AM";"13";"1303536";"PRESIDENTE FIGUEIREDO"
"182";"AM";"13";"1303569";"RIO PRETO DA EVA"
"183";"AM";"13";"1303601";"SANTA ISABEL DO RIO NEGRO"
"184";"AM";"13";"1303700";"SANTO ANTONIO DO ICA"
"185";"AM";"13";"1303809";"SAO GABRIEL DA CACHOEIRA"
"186";"AM";"13";"1303908";"SAO PAULO DE OLIVENCA"
"187";"AM";"13";"1303957";"SAO SEBASTIAO DO UATUMA"
"188";"AM";"13";"1304005";"SILVES"
"189";"AM";"13";"1304062";"TABATINGA"
"190";"AM";"13";"1304104";"TAPAUA"
"191";"AM";"13";"1304203";"TEFE"
"192";"AM";"13";"1304237";"TONANTINS"
"193";"AM";"13";"1304260";"UARINI"
"194";"AM";"13";"1304302";"URUCARA"
"195";"AM";"13";"1304401";"URUCURITUBA"
"196";"AP";"16";"1600105";"AMAPA"
"197";"AP";"16";"1600204";"CALCOENE"
"198";"AP";"16";"1600212";"CUTIAS"
"199";"AP";"16";"1600238";"FERREIRA GOMES"
"200";"AP";"16";"1600253";"ITAUBAL"
"201";"AP";"16";"1600279";"LARANJAL DO JARI"
"202";"AP";"16";"1600303";"MACAPA"
"203";"AP";"16";"1600402";"MAZAGAO"
"204";"AP";"16";"1600501";"OIAPOQUE"
"205";"AP";"16";"1600154";"PEDRA BRANCA DO AMAPARI"
"206";"AP";"16";"1600535";"PORTO GRANDE"
"207";"AP";"16";"1600550";"PRACUUBA"
"208";"AP";"16";"1600600";"SANTANA"
"209";"AP";"16";"1600055";"SERRA DO NAVIO"
"210";"AP";"16";"1600709";"TARTARUGALZINHO"
"211";"AP";"16";"1600808";"VITORIA DO JARI"
"212";"BA";"29";"2900108";"ABAIRA"
"213";"BA";"29";"2900207";"ABARE"
"214";"BA";"29";"2900306";"ACAJUTIBA"
"215";"BA";"29";"2900355";"ADUSTINA"
"216";"BA";"29";"2900405";"AGUA FRIA"
"217";"BA";"29";"2900603";"AIQUARA"
"218";"BA";"29";"2900702";"ALAGOINHAS"
"219";"BA";"29";"2900801";"ALCOBACA"
"220";"BA";"29";"2900900";"ALMADINA"
"221";"BA";"29";"2901007";"AMARGOSA"
"222";"BA";"29";"2901106";"AMELIA RODRIGUES"
"223";"BA";"29";"2901155";"AMERICA DOURADA"
"224";"BA";"29";"2901205";"ANAGE"
"225";"BA";"29";"2901304";"ANDARAI"
"226";"BA";"29";"2901353";"ANDORINHA"
"227";"BA";"29";"2901403";"ANGICAL"
"228";"BA";"29";"2901502";"ANGUERA"
"229";"BA";"29";"2901601";"ANTAS"
"230";"BA";"29";"2901700";"ANTONIO CARDOSO"
"231";"BA";"29";"2901809";"ANTONIO GONCALVES"
"232";"BA";"29";"2901908";"APORA"
"233";"BA";"29";"2901957";"APUAREMA"
"234";"BA";"29";"2902054";"ARACAS"
"235";"BA";"29";"2902005";"ARACATU"
"236";"BA";"29";"2902104";"ARACI"
"237";"BA";"29";"2902203";"ARAMARI"
"238";"BA";"29";"2902252";"ARATACA"
"239";"BA";"29";"2902302";"ARATUIPE"
"240";"BA";"29";"2902401";"AURELINO LEAL"
"241";"BA";"29";"2902500";"BAIANOPOLIS"
"242";"BA";"29";"2902609";"BAIXA GRANDE"
"243";"BA";"29";"2902658";"BANZAE"
"244";"BA";"29";"2902708";"BARRA"
"245";"BA";"29";"2902807";"BARRA DA ESTIVA"
"246";"BA";"29";"2902906";"BARRA DO CHOCA"
"247";"BA";"29";"2903003";"BARRA DO MENDES"
"248";"BA";"29";"2903102";"BARRA DO ROCHA"
"249";"BA";"29";"2903201";"BARREIRAS"
"250";"BA";"29";"2903235";"BARRO ALTO"
"251";"BA";"29";"2903300";"BARRO PRETO"
"252";"BA";"29";"2903276";"BARROCAS"
"253";"BA";"29";"2903409";"BELMONTE"
"254";"BA";"29";"2903508";"BELO CAMPO"
"255";"BA";"29";"2903607";"BIRITINGA"
"256";"BA";"29";"2903706";"BOA NOVA"
"257";"BA";"29";"2903805";"BOA VISTA DO TUPIM"
"258";"BA";"29";"2903904";"BOM JESUS DA LAPA"
"259";"BA";"29";"2903953";"BOM JESUS DA SERRA"
"260";"BA";"29";"2904001";"BONINAL"
"261";"BA";"29";"2904050";"BONITO"
"262";"BA";"29";"2904100";"BOQUIRA"
"263";"BA";"29";"2904209";"BOTUPORA"
"264";"BA";"29";"2904308";"BREJOES"
"265";"BA";"29";"2904407";"BREJOLANDIA"
"266";"BA";"29";"2904506";"BROTAS DE MACAUBAS"
